Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.12521	914	28	29	20	32	30	22	0.790	2.8164	0.000000	0.000000	0.408652
m.12550	201	5	4	3	7	6	6	1.094	2.1263	0.000000	0.000000	0.464704
m.12589	426	2	0	2	0	2	0	-0.123	-0.1610	0.992512	0.284331	0.946494
m.12606	311	0	1	1	4	4	5	1.158	1.9264	0.000000	0.000000	0.490236
m.1261	196	3	9	3	4	2	4	0.631	1.0194	0.002374	0.000093	0.675231
m.12642	195	48	65	39	73	59	40	0.789	4.1394	0.000000	0.000000	0.374815
m.12643	211	2	2	1	1	4	0	0.328	0.4461	0.403461	0.028691	0.895478
m.12644	250	1	0	0	0	0	0	-0.071	-0.0912	0.996757	0.255705	0.956767
m.12647	377	0	2	0	0	1	0	-0.096	-0.1221	0.994539	0.268957	0.952594
m.12648	162	3	3	0	4	2	1	0.847	1.2815	0.000055	0.000002	0.604461
m.1265	381	0	0	1	2	0	1	0.294	0.4029	0.490964	0.038086	0.912195
m.12659	176	0	0	0	0	0	3	0.242	0.3227	0.659650	0.061099	0.939040
m.12662	470	16	16	15	23	19	14	0.741	2.2407	0.000000	0.000000	0.452161
m.12676	293	1	2	2	1	1	0	-0.293	-0.3818	0.999999	0.342968	0.861296
m.12686	459	3	4	4	1	4	1	-0.250	-0.3877	0.999988	0.343921	0.856959
m.12693	1749	23	17	22	20	26	14	0.231	0.8157	0.025031	0.001092	0.743968
m.12695	530	0	3	1	2	1	1	0.253	0.3524	0.597507	0.051700	0.929860
m.12698	142	7	13	6	17	11	7	1.384	3.0974	0.000000	0.000000	0.395230
m.12699	199	15	18	9	19	17	12	1.128	2.8255	0.000000	0.000000	0.408140
m.12709	550	23	30	16	26	26	15	0.810	2.5713	0.000000	0.000000	0.424117
m.12711	510	3	8	4	8	2	2	0.893	1.6360	0.000000	0.000000	0.534486
m.12713	362	0	1	0	0	0	0	-0.144	-0.2044	0.992334	0.299672	0.938045
m.12716	167	4	4	2	7	4	4	1.265	2.3180	0.000000	0.000000	0.444575
m.12721	179	3	0	1	0	1	5	0.474	0.6896	0.080978	0.003955	0.793057
m.12722	407	6	6	4	3	7	2	0.397	0.6392	0.121254	0.006292	0.813949
m.12724	296	3	0	2	0	0	0	-0.322	-0.4178	0.999986	0.348370	0.832280
m.12725	224	19	26	17	22	22	16	0.622	1.9427	0.000000	0.000000	0.487995
m.12732	698	31	38	24	35	33	24	0.629	2.2407	0.000000	0.000000	0.452161
m.12733	700	12	14	8	16	18	4	1.115	2.8800	0.000000	0.000000	0.405172
m.12740	434	14	19	15	21	21	12	0.675	1.8764	0.000000	0.000000	0.497273
m.12744	483	5	4	2	4	5	1	0.770	1.2303	0.000122	0.000004	0.616834
m.12757	255	16	18	8	22	14	12	1.365	3.4859	0.000000	0.000000	0.384273
m.12762	252	8	0	11	9	7	29	0.426	1.0348	0.001945	0.000076	0.670544
m.12764	395	0	2	1	2	2	1	0.385	0.5170	0.276168	0.017244	0.866070
m.12766	325	0	0	0	0	0	2	0.065	0.0854	0.978754	0.167851	0.970826
m.12770	763	1	3	1	5	3	1	1.067	1.6929	0.000000	0.000000	0.525144
m.12778	145	2	2	2	1	2	1	-0.110	-0.1428	0.993284	0.277326	0.949485
m.12781	500	4	4	3	4	3	1	0.480	0.8117	0.026073	0.001140	0.745448
m.12786	174	2	0	0	0	0	3	0.143	0.1898	0.889444	0.115285	0.966161
m.12790	138	6	9	5	14	9	1	1.278	2.7599	0.000000	0.000000	0.411934
m.12795	196	1	1	0	1	0	0	-0.092	-0.1224	0.994520	0.269081	0.952551
m.12796	156	13	18	10	21	16	15	1.158	3.0569	0.000000	0.000000	0.396840
m.12799	378	7	7	6	9	7	8	0.860	1.8856	0.000000	0.000000	0.495960
m.1281	317	1	2	0	1	2	0	0.146	0.1842	0.896433	0.117945	0.966765
m.12810	529	5	22	18	27	24	12	0.687	2.4029	0.000000	0.000000	0.437031
m.12813	219	8	6	7	13	9	8	1.030	2.3187	0.000000	0.000000	0.444510
m.12818	193	21	37	18	33	28	13	0.918	2.8844	0.000000	0.000000	0.404940
m.12824	377	28	15	18	27	37	21	0.779	2.3544	0.000000	0.000000	0.441244
m.12825	688	0	2	2	4	5	3	0.838	1.3622	0.000015	0.000001	0.586277
m.12829	263	4	2	1	2	4	2	0.658	0.9618	0.004876	0.000196	0.693378
m.1283	112	8	5	5	9	11	4	1.037	1.9880	0.000000	0.000000	0.481908
